coordinates,created_at,hashtags,media,urls,favorite_count,id,in_reply_to_screen_name,in_reply_to_status_id,in_reply_to_user_id,lang,place,possibly_sensitive,quote_id,retweet_count,retweet_id,retweet_screen_name,source,text,tweet_url,user_created_at,user_id,user_default_profile_image,user_description,user_favourites_count,user_followers_count,user_friends_count,user_listed_count,user_location,user_name,user_screen_name,user_statuses_count,user_time_zone,user_urls,user_verified
"100.65507813,13.86200131",Fri Dec 31 07:08:37 +0000 2021,,,http://dlvr.it/SGJFYC,0,1476812519909908481,,,,en,"ท่าแร้ง, ประเทศไทย",false,,1,,,"<a href=""https://dlvrit.com/"" rel=""nofollow"">dlvr.it</a>","HKNR — China's Xi'an imposes 'strictest' controls to halt COVID outbreak: Hong Kong to mandate hotel quarantine for cargo aircrew, mulls expanding vaccination requirement to schools.  

View article... https://t.co/cDlZ2riIO9",https://twitter.com/StigmabaseU/status/1476812519909908481,Tue Oct 26 15:04:54 +0000 2010,208056970,false,Asia — भारत  — Türkçe — Čeština — ελληνικά | Keeping up-to-date on global exclusion — Stigmabase is a canadian internet non-profit Initiative,0,2528,2405,117,WORLDWIDE,Stigmabase | UN,StigmabaseU,1607149,,https://www.stigmabase.org/,false
"28.2833,-15.4167",Fri Dec 31 08:33:12 +0000 2021,,,https://www.instagram.com/p/CYJAHubs6rj/?utm_medium=twitter,1,1476833808943042560,,,,en,"Lusaka, Zambia",false,,0,,,"<a href=""http://instagram.com"" rel=""nofollow"">Instagram</a>","2021 Highlights...
The year has finally come to an end, it was full of opportunities despite the pandemic and the best moments are the ones spent with family and friends....
&lt;/2021&gt; @ Lusaka, Zambia https://t.co/NUnT2E34UE",https://twitter.com/AstroSanderson/status/1476833808943042560,Mon Aug 10 04:04:06 +0000 2020,1292672966912880646,false,"Developer(HTML, CSS, JavaScript, Python) | Climate Change Activist | Aspiring Astronaut |
Founder @zambiaspace",2516,51,341,0,"Lusaka, Zambia",Henry Sanderson Viyuyi,AstroSanderson,287,,https://linktr.ee/Astrosanderson,false
"151.28758733,-33.79738147",Fri Dec 31 11:45:25 +0000 2021,,,https://www.instagram.com/p/CYJWHkYLiyBRV6QmB7aXbzLXII4xy5MaBs04Bs0/?utm_medium=twitter,0,1476882180169244681,,,,en,"Sydney, New South Wales",false,,0,,,"<a href=""http://instagram.com"" rel=""nofollow"">Instagram</a>","Tonight I realized that the local council hung Coronavirus replicas as Christmas decorations in the trees in Manly. Topical.Timely. On Point. Happy New Year @ Manly Beach, Sydney Australia https://t.co/4qz6N3140l",https://twitter.com/jeffcrabtree/status/1476882180169244681,Wed May 06 02:30:57 +0000 2009,38091708,false,"Musician, Producer, Composer, Writer, Speaker - loves Cappuccino anywhere like Rome, Paris or NY. Completing book: Living With A Creative Mind with wife Julie.",11,1187,212,37,"Sydney, Australia",Jeff Crabtree,jeffcrabtree,2480,,http://www.livingwithacreativemind.com,false
"-73.56725453,45.75975883",Fri Dec 31 09:25:02 +0000 2021,,,http://dlvr.it/SGJVtP,0,1476846852486012936,,,,en,"Mascouche, Québec",false,,0,,,"<a href=""https://dlvrit.com/"" rel=""nofollow"">dlvr.it</a>","Fighting Stigma: Half as many people go shopping after Christmas compared to pre—pandemic levels — iNews: In the days after England's chief medical officer, Professor Chris Whitty urged ... 23 per cent in Wales and 47 per cent in Northern Ireland. https://t.co/wG1bO7w30o",https://twitter.com/StigmabaseN/status/1476846852486012936,Wed Sep 15 15:55:47 +0000 2010,191092262,false,Ireland — Scotland — Inuit —  Svenska  | Keeping up-to-date on global exclusion — Stigmabase is a canadian internet non-profit Initiative,0,1610,1297,111,Ireland | Scotland | Inuit | Skandinavien,Stigmabase | NORDIC,StigmabaseN,952258,,https://www.stigmabase.org/,false
"44.208984,15.326572",Fri Dec 31 05:35:39 +0000 2021,ItIsCosmicAndCovidiousWar,,,2,1476789123293851657,,,,en,Yemen,,,6,,,"<a href=""http://noonlib.com"" rel=""nofollow"">فرقان</a>","which is not really corona; but strains of somewhat like a gnat that you do not encompass any knowledge about.
Imam Nasser Mohammed Al-Yamani
11-12-2021
92
#ItIsCosmicAndCovidiousWar
 Omicron
Z/b7=|",https://twitter.com/mnoon11230/status/1476789123293851657,Tue Aug 24 09:43:06 +0000 2021,1430103303816425492,false,فتح قريب من الله ورضوان,2967,284,922,3,Yemen,❤️الله حبيبي❤️,mnoon11230,8538,,,false
"-79.7164011,43.7742911",Fri Dec 31 07:01:03 +0000 2021,Canada Covid19 Health Lifestyle,,http://dlvr.it/SGJDhj,0,1476810617222696960,,,,en,"Brampton, Ontario",false,,1,,,"<a href=""https://dlvrit.com/"" rel=""nofollow"">dlvr.it</a>","Statement from the Chief Public Health Officer of Canada on December 30, 2021 https://t.co/FZ2Chy115r #Canada #Covid19 #Health #Lifestyle",https://twitter.com/Weeklyvoice/status/1476810617222696960,Tue Mar 30 17:43:21 +0000 2010,127943720,false,Most Trusted News in North America’s South Asian Communities Since 1997,172,494,299,11,Toronto,Weekly Voice,Weeklyvoice,37110,,http://www.Weeklyvoice.com,false
"116.52099609,40.01709786",Fri Dec 31 05:04:08 +0000 2021,,,http://dlvr.it/SGJ3j9,0,1476781192548532225,,,,en,"北京, 中华人民共和国",false,,1,,,"<a href=""https://dlvrit.com/"" rel=""nofollow"">dlvr.it</a>","ZHNR — China Keeps 13 Million in Xi'an Under Strict Lockdown: China, holding to its 'zero Covid' strategy, keeps a city of 13 million ... road this week in Xi'an, in the northern Chinese province of Shaanxi.  

View article... https://t.co/kiGHiglI3v",https://twitter.com/StigmabaseU/status/1476781192548532225,Tue Oct 26 15:04:54 +0000 2010,208056970,false,Asia — भारत  — Türkçe — Čeština — ελληνικά | Keeping up-to-date on global exclusion — Stigmabase is a canadian internet non-profit Initiative,0,2528,2405,117,WORLDWIDE,Stigmabase | UN,StigmabaseU,1607149,,https://www.stigmabase.org/,false
"39.150318,21.670473",Fri Dec 31 10:33:20 +0000 2021,,https://twitter.com/Mhnd_KQ/status/1476864040420974630/photo/1,https://www.swarmapp.com/c/aK7hvxSouDO,0,1476864040420974630,,,,en,"جدة, المملكة العربية السعودية",false,,0,,,"<a href=""https://www.swarmapp.com"" rel=""nofollow"">Foursquare Swarm</a>","I'm at COVID-19 Vaccine Center in Jeddah, Makkah https://t.co/ifs8WmGjNJ https://t.co/ipSrzHJK46",https://twitter.com/Mhnd_KQ/status/1476864040420974630,Mon Feb 02 07:42:19 +0000 2015,3007688672,false,"1989, Engineering, Projects management 👨‍💻, Resilient warrior, wild dreamer ⭐️, الحمدلله، الحياة حلوة ❤️",4518,385,294,0,Kingdom of Saudi Arabia,Mhnd_KQ,Mhnd_KQ,1590,,https://instagram.com/mhnd_kq,false
"-73.6197588,45.51950705",Fri Dec 31 06:54:32 +0000 2021,,,http://dlvr.it/SGJDCs,0,1476808977405005827,,,,en,"Montréal, Québec",false,,0,,,"<a href=""https://dlvrit.com/"" rel=""nofollow"">dlvr.it</a>","TW : The Covid-19 Pandemic Reduced Stigma About Depression: ...depression. The study used data from the U.S. National Stigma Studies, which are part of the General Social Survey, to examine public stigma over a 22-year period at three key points: in… https://t.co/Jl4Jx4ykp4",https://twitter.com/stigmabase/status/1476808977405005827,Wed Sep 01 21:06:16 +0000 2010,185789961,false,Dedicated to Education | Keeping up-to-date on global exclusion — Serving the truth — Stigmabase is a canadian internet non-profit Initiative. Founded in 2010,0,963,689,71,Worldwide,STIGMABASE | EDU,stigmabase,820501,,https://www.stigmabase.org/,false
"121.01305745,14.50990424",Fri Dec 31 09:10:46 +0000 2021,,,https://www.instagram.com/p/CYJEayxPuZS/?utm_medium=twitter,0,1476843260349984768,,,,en,"Lungsod ng Pasay, Pambansang Punong Rehiyon",false,,0,,,"<a href=""http://instagram.com"" rel=""nofollow"">Instagram</a>","And just like that, back to New York’s covid winter … @ NAIA Terminal 2 International Departures https://t.co/cJvMVxGOgC",https://twitter.com/AEDimanlig/status/1476843260349984768,Tue Jan 07 16:42:50 +0000 2014,2280871519,false,Performing arts devotee,15,83,50,8,"New York, NY",Adrian Dimanlig,AEDimanlig,4215,,http://www.adriandimanlig.com,false
