coordinates,created_at,hashtags,media,urls,favorite_count,id,in_reply_to_screen_name,in_reply_to_status_id,in_reply_to_user_id,lang,place,possibly_sensitive,quote_id,retweet_count,retweet_id,retweet_screen_name,source,text,tweet_url,user_created_at,user_id,user_default_profile_image,user_description,user_favourites_count,user_followers_count,user_friends_count,user_listed_count,user_location,user_name,user_screen_name,user_statuses_count,user_time_zone,user_urls,user_verified
"-61.5224,10.6568",Wed Jul 07 20:21:22 +0000 2021,TrinidadAndTobago,,https://www.instagram.com/p/CRCgdosLRlQvIew7UqSvtk2YmzFqv7CEvr1wI40/?utm_medium=twitter,0,1412869372583071757,,,,en,Trinidad and Tobago,false,,0,,,"<a href=""http://instagram.com"" rel=""nofollow"">Instagram</a>","Health Ministry's COVID-19 Update:

* 15 Additional Deaths 

* 115 New Cases 

* 6,244 Active Cases 

* People Vaccinated: 221,620 {1st Dose}; 129,849 {2nd Dose}

#TrinidadAndTobago https://t.co/3DQqEJIZbp",https://twitter.com/Multi9628/status/1412869372583071757,Sun May 22 10:50:47 +0000 2011,303136399,false,"I Am Who I Am, Your Consent Is Not Needed.#EverBlessed",59853,340,776,25,Port Of Spain,Multitalented Sean,Multi9628,18326,,,false
"-117.878945,33.588633",Wed Jul 07 20:14:46 +0000 2021,,,https://www.instagram.com/p/CRCfcVTFb39/?utm_medium=twitter,0,1412867711378497539,,,,en,"California, USA",false,,0,,,"<a href=""http://instagram.com"" rel=""nofollow"">Instagram</a>","Just posted a video @ Corona del Mar, Newport Beach, California https://t.co/lwS5oa0UuX",https://twitter.com/summerperrynb/status/1412867711378497539,Mon Oct 01 00:35:47 +0000 2012,855586291,false,"“Building a home is a very noble profession, but finding a home its soul mate merely is the most rewarding and elating feeling in the world."" ~Summer PERRY",167,84,151,3,Newport Beach,Summer Lynne Perry,summerperrynb,491,,http://www.SummerLynnePerry.com,false
"-97.14456,49.88884",Thu Jul 08 00:24:58 +0000 2021,pfizergang doubledose covid19 immunized comedian,,https://www.instagram.com/p/CRC8VxKADSL/?utm_medium=twitter,1,1412930675066368000,,,,en,"Winnipeg, Manitoba",false,,0,,,"<a href=""http://instagram.com"" rel=""nofollow"">Instagram</a>","Got my 2nd Vaccine! Happy to get life back to normal! Back on stage!!
#pfizergang #doubledose #covid19 #immunized #comedian @ RBC Convention Centre Winnipeg https://t.co/c92HA5zOko",https://twitter.com/FunnyCTStewart/status/1412930675066368000,Tue Jan 06 20:06:43 +0000 2009,18692558,false,Comedian / Magician / Actor,26,227,233,17,"Winnipeg, Manitoba Canada",Clayton T. Stewart,FunnyCTStewart,596,,http://www.facebook.com/FunnyCTStewart,false
"-84.5120196,39.1031182",Wed Jul 07 21:41:57 +0000 2021,,,https://eiben.space/covid19-graphs/2021/7/7/cincinnati-metropolitan-area-covid-19-july-6th-2021,1,1412889650784612353,,,,en,"Cincinnati, OH",false,,0,,,"<a href=""http://www.squarespace.com"" rel=""nofollow"">Squarespace</a>","Cincinnati Metropolitan Area COVID-19: July 6th, 2021  https://t.co/9cpVMdb2uw",https://twitter.com/AaronEiben/status/1412889650784612353,Sun Jul 31 05:57:20 +0000 2011,345803381,false,"Professional Physicist, Amateur Astronomer; 
Critical Thinker, Insatiable Learner, Skeptic.",1135,60,398,1,"Cincinnati, OH",Aaron Eiben,AaronEiben,757,,,false
"-73.56726563,45.63697547",Wed Jul 07 19:58:07 +0000 2021,,,http://dlvr.it/S3GMC5,0,1412863521126113280,,,,en,"Montréal, Québec",false,,1,,,"<a href=""https://dlvrit.com/"" rel=""nofollow"">dlvr.it</a>","Fighting Stigma — 'Breaking the stigma': Belgium now recognises Indian Covishield vaccine: “Belgium breaks through the stigma,” Kitir told the Belga news agency. “It can motivate people to get vaccinated through Covax, which makes ... https://t.co/LtlXFxZCTP",https://twitter.com/stigmabase/status/1412863521126113280,Wed Sep 01 21:06:16 +0000 2010,185789961,false,Dedicated to Education | Keeping up-to-date on global exclusion — Serving the truth — Stigmabase is a canadian internet non-profit Initiative. Founded in 2010,0,962,689,71,Worldwide,STIGMABASE | EDU,stigmabase,820350,,https://www.stigmabase.org/,false
"-118.2445,34.0564",Thu Jul 08 00:14:54 +0000 2021,gop vaccine,,https://covid19.ca.gov/vaccines/ https://www.instagram.com/p/CRC7L71JNsK/?utm_medium=twitter,0,1412928139873898499,,,,en,"Los Angeles, CA",false,,0,,,"<a href=""http://instagram.com"" rel=""nofollow"">Instagram</a>","#gop says do not get the #vaccine.  If you need info on COVID-19 please go to https://t.co/APD14o729w @ Los Angeles, California https://t.co/x9bZsWFcWt",https://twitter.com/TheGeeMoneyShow/status/1412928139873898499,Mon Aug 10 08:59:01 +0000 2009,64364217,false,#bestdadever Host of Live From Long Beach! #BlackLivesMattter #RockStarBeer #wrestling #ufc #mma #tacos #thegeemoneyshow #lakers #elysianpark #aew #wwe,5182,97,726,0,"Elysian Park, Los Angeles",Gee Williams 🏋🏿,TheGeeMoneyShow,3617,,,false
"-73.56725453,45.75975883",Thu Jul 08 02:00:12 +0000 2021,,,http://dlvr.it/S3HCP8,0,1412954639905918982,,,,en,"Mascouche, Québec",false,,1,,,"<a href=""https://dlvrit.com/"" rel=""nofollow"">dlvr.it</a>",Fighting Stigma: Covid-19: Health authorities warn North at start of 'significant further wave': Northern Ireland Department of Health figures have shown a sharp increase in the number of new Covid-19 cases in recent weeks. Prof Young said the ... https://t.co/yVSgsR078S,https://twitter.com/StigmabaseN/status/1412954639905918982,Wed Sep 15 15:55:47 +0000 2010,191092262,false,Ireland — Scotland — Inuit —  Svenska  | Keeping up-to-date on global exclusion — Stigmabase is a canadian internet non-profit Initiative,0,1611,1297,110,Ireland | Scotland | Inuit | Skandinavien,Stigmabase | NORDIC,StigmabaseN,951948,,https://www.stigmabase.org/,false
"-73.56725453,45.75975883",Thu Jul 08 02:00:10 +0000 2021,,,http://dlvr.it/S3HCNx,0,1412954634424000512,,,,en,"Mascouche, Québec",false,,0,,,"<a href=""https://dlvrit.com/"" rel=""nofollow"">dlvr.it</a>","Fighting Stigma: Northern Ireland Covid vaccine plea as pressure mounts of local health service: In the wake of a warning that Northern Ireland's health care system is “struggling to cope”, NHS bosses have again issued a plea to younger people to ... https://t.co/fPt0whqgwk",https://twitter.com/StigmabaseN/status/1412954634424000512,Wed Sep 15 15:55:47 +0000 2010,191092262,false,Ireland — Scotland — Inuit —  Svenska  | Keeping up-to-date on global exclusion — Stigmabase is a canadian internet non-profit Initiative,0,1611,1297,110,Ireland | Scotland | Inuit | Skandinavien,Stigmabase | NORDIC,StigmabaseN,951948,,https://www.stigmabase.org/,false
"-79.7164011,43.7742911",Wed Jul 07 22:55:34 +0000 2021,Community CommunityNews,,http://dlvr.it/S3GqcY,0,1412908176349929474,,,,en,"Brampton, Ontario",false,,1,,,"<a href=""https://dlvrit.com/"" rel=""nofollow"">dlvr.it</a>","Hockey Hub Partnership In Peel Crossing 50,000 Vaccines Delivered Against Covid-19: BRAMPTON: The Hockey Hub mass vaccination centre, located at the CAA Centre in the Region of Peel, is on track to deliver over 50,000… https://t.co/QMz085BZHg #Community #CommunityNews",https://twitter.com/Weeklyvoice/status/1412908176349929474,Tue Mar 30 17:43:21 +0000 2010,127943720,false,Most Trusted News in North America’s South Asian Communities Since 1997,172,494,299,11,Toronto,Weekly Voice,Weeklyvoice,37078,,http://www.Weeklyvoice.com,false
"76.8958,43.2775",Thu Jul 08 02:10:38 +0000 2021,Covid FLOW,,https://www.instagram.com/p/CRDIbjCBqx3MI92e43qRyWbNqz-pIbr-kaz7sY0/?utm_medium=twitter,0,1412957266047901696,,,,en,Kazakhstan,false,,0,,,"<a href=""http://instagram.com"" rel=""nofollow"">Instagram</a>","#Covid comes to end, #FLOW comes to town, I come to Almaty, alas! @ Almaty, Kazakhstan https://t.co/B27F1ilnEM",https://twitter.com/buzady/status/1412957266047901696,Sun Dec 15 11:06:45 +0000 2013,2247049903,false,"Global Expert in Flow & Leadership Development, Associate Professor of Leadership, Design Thinking Pioneer.",20,109,382,3,"Budapest, Hungary",zoltan buzady,buzady,531,,https://www.linkedin.com/in/zoltanbuzady/,false
